100 Block Address,Offense ID,Longitude,Latitude
NE 47TH ST / 11TH AVE NE,34,-122.316358548176471,47.66311178
MARION ST / BOREN AVE,25,-122.324486999,47.60862449
34TH AVE S / S SPOKANE ST,10,-122.289921964,47.57158202
OCCIDENTAL AVE S / S ROYAL BROUGHAM WAY,1,-122.333262388,47.59239522
W SEATTLE BR / EB,3,-122.355379119,47.57095072
18XX BLOCK OF 1ST AVE,6,-122.341132733,47.61004447
122XX BLOCK OF 4TH AVE NW,20,-122.362298882,47.71873423
12XX BLOCK OF SW HOLDEN ST,94,-122.351114970042553,47.534130049787234
14XX BLOCK OF S COLUMBIAN WAY,174,-122.314277864626437,47.571047782758621
57XX BLOCK OF WALLINGFORD AVE N,2,-122.33709045,47.67098858
7XX BLOCK OF NW 77TH ST,1,-122.364667902,47.68473255
25XX BLOCK OF AIRPORT WAY S,22,-122.321397393,47.580388816818182
1XX BLOCK OF 2ND AVE S,4,-122.33100551,47.600822045
57XX BLOCK OF 28TH AVE NW,6,-122.3928725325,47.67055649
S DONOVAN ST / 8TH AVE S,7,-122.32292969,47.52561521
61XX BLOCK OF 51ST AVE S,2,-122.269892741,47.547369
47XX BLOCK OF SW RAYMOND ST,6,-122.393151659,47.54857205
95XX BLOCK OF 28TH AVE NW,3,-122.393496836,47.69805799
10XX BLOCK OF 20TH AVE S,22,-122.306236897,47.59342108
49XX BLOCK OF 48TH AVE S,12,-122.273188341,47.55764482
3XX BLOCK OF NE 100TH ST,19,-122.325039392368421,47.70133871
AURORA AVE N / N 76TH ST,8,-122.344488235,47.68403806
37XX BLOCK OF E OLIVE ST,2,-122.285580201,47.61646277
39TH AVE SW / SW THISTLE ST,1,-122.382019459,47.52841149
9XX BLOCK OF DEXTER AVE N,317,-122.342322729009464,47.62757349
NE 145TH ST / 12TH AVE NE,3,-122.315441928,47.7339772
15XX BLOCK OF 26TH AVE S,24,-122.299097319,47.58889266
26XX BLOCK OF 35TH AVE W,23,-122.402322143391304,47.64409301
64XX BLOCK OF 17TH AVE NW,19,-122.378881041631579,47.6756374
47XX BLOCK OF NE 103RD ST,4,-122.277058028,47.70295064
S HAWTHORN RD / S UPLAND RD,1,-122.260337942,47.5490374
59XX BLOCK OF 17TH AVE NW,13,-122.378881757846154,47.67199787
HIGHLAND DR / WESTLAKE E RDWY AVE N,2,-122.340762316,47.62971481
NE 130TH ST / 20TH AVE NE,1,-122.307274279,47.72298316
1XX BLOCK OF W CREMONA ST,33,-122.359280439363636,47.64954342
18XX BLOCK OF N 90TH ST,24,-122.335806098,47.69413606
8XX BLOCK OF S WASHINGTON ST,45,-122.321268863533333,47.60085706
24XX BLOCK OF S GRAHAM ST,51,-122.301469798882353,47.54640271
HUBBELL PL / UNIVERSITY ST,5,-122.330748736,47.6095763
53XX BLOCK OF SW MANNING ST,13,-122.401455744,47.57182077
5TH AVE NW / NW BRIGHT ST,2,-122.3629399105,47.66001818
31XX BLOCK OF NW 54TH ST,1,-122.397233611,47.66765539
12XX BLOCK OF ALASKAN WAY S,13,-122.34009267,47.60554493
N 49TH ST / STONE AVE N,1,-122.342090976,47.66429118
35XX BLOCK OF SW 106TH ST,9,-122.378715092555556,47.5082137
AURORA AVE N / N 94TH ST,14,-122.344599414,47.6970841
16TH AVE S / S ORCAS ST,2,-122.3123182,47.55124292
13TH AVE S / STANLEY AVE S,1,-122.316104205,47.54797379
17XX BLOCK SUMMIT AVE,1,-122.325552288,47.61704061
88XX BLOCK OF 29TH AVE NW,6,-122.393973025,47.69308579
39XX BLOCK OF NE 127TH ST,7,-122.2859398,47.72093193
16XX BLOCK OF CALIFORNIA AVE SW,32,-122.38625350909375,47.58868329
38XX BLOCK OF S WILLOW ST,103,-122.284159639883495,47.54066928
40XX BLOCK OF 30TH AVE SW,4,-122.370770176,47.56724705
72XX BLOCK OF 31ST AVE SW,1,-122.372556451,47.53828908
93XX BLOCK OF 46TH AVE S,20,-122.274237036,47.51876575
6TH AVE NW / NW 50TH ST,2,-122.363995869,47.66502253
9XX BLOCK OF 7TH AVE S,4,-122.323767991,47.59457465
66XX BLOCK OF 46TH AVE S,3,-122.275377277,47.54291022
122XX BLOCK OF 3RD AVE NW,32,-122.36094606015625,47.7187262603125
S SNOQUALMIE ST / 46TH AVE S,1,-122.275733263,47.5617428
60XX BLOCK OF S RYAN ST,7,-122.257910668428571,47.50970038
44XX BLOCK OF S EDDY ST,21,-122.276767624619048,47.54512991
15XX BLOCK OF NE 140TH ST,12,-122.311352497833333,47.73028674
11XX BLOCK E THOMAS ST,1,-122.317392137,47.62110088
35XX BLOCK OF DENSMORE AVE N,14,-122.337524249357143,47.64985452
54XX BLOCK OF NE 55TH ST,3,-122.270037394,47.66849873
26TH AVE SW / SW GENESEE ST,1,-122.365459336,47.56472544
16XX BLOCK OF 5TH AVE,795,-122.336938539,47.61216878
62XX BLOCK OF 47TH AVE S,7,-122.273712440142857,47.54713333
6TH AVE NE / NE 71ST ST,1,-122.321757551,47.68021033
45TH AVE S / S WEBSTER ST,1,-122.276581057,47.53522229
