GISJOIN,BlockGroup,STATEA,COUNTYA,TRACTA,BLKGRPA,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,ADPYE001,ADRKE001,ADRWE001
G53002500111003,530250111003,53,25,11100,3,1558,240,106,362,24,34,152,640,765,630,113900
G53002500111004,530250111004,53,25,11100,4,1192,33,72,52,73,573,0,389,594,779,119100
G53002500112001,530250112001,53,25,11200,1,2891,165,92,51,32,254,15,2282,1131,734,196700
G53002500112002,530250112002,53,25,11200,2,2293,101,82,31,117,330,45,1587,892,914,189200
G53002500113001,530250113001,53,25,11300,1,1146,0,36,12,7,235,126,730,436,750,166700
G53002500113002,530250113002,53,25,11300,2,2735,205,484,258,236,134,148,1270,877,624,89100
G53002500114011,530250114011,53,25,11401,1,2283,83,119,152,195,418,125,1191,761,631,149400
G53002500114021,530250114021,53,25,11402,1,2887,0,588,157,198,219,481,1244,1158,593,167600
G53002500114022,530250114022,53,25,11402,2,1440,25,390,84,66,201,185,489,259,989,
G53002500114023,530250114023,53,25,11402,3,5725,272,1330,1116,547,780,258,1422,1189,660,100800
G53002500114024,530250114024,53,25,11402,4,1101,0,0,72,580,26,0,423,394,848,
G53002500114025,530250114025,53,25,11402,5,1695,86,584,185,190,250,50,350,462,571,96400
G53002700002001,530270002001,53,27,200,1,2457,207,59,536,106,32,34,1483,2182,792,152500
G53002700002002,530270002002,53,27,200,2,1463,0,32,92,241,7,99,992,1353,732,205500
G53002700002003,530270002003,53,27,200,3,1924,26,60,190,325,104,11,1208,1903,1150,164800
G53002700002004,530270002004,53,27,200,4,587,15,18,34,0,89,83,348,544,,185800
G53002700002005,530270002005,53,27,200,5,692,158,51,146,0,30,17,290,614,810,
G53002700002006,530270002006,53,27,200,6,216,0,0,0,0,0,0,216,310,,
G53002700003001,530270003001,53,27,300,1,1022,110,23,9,78,12,20,770,579,808,171600
G53002700003002,530270003002,53,27,300,2,1690,37,27,60,18,86,18,1444,643,785,178100
G53002700003003,530270003003,53,27,300,3,570,71,63,1,45,86,3,301,403,571,114900
G53002700004001,530270004001,53,27,400,1,1338,0,0,210,71,0,185,872,581,869,200700
G53002700004002,530270004002,53,27,400,2,985,33,41,84,13,119,0,695,406,721,169100
G53002700004003,530270004003,53,27,400,3,646,0,0,0,0,0,0,646,229,,185600
G53002700004004,530270004004,53,27,400,4,728,3,16,0,19,100,63,527,280,1176,172400
G53002700004005,530270004005,53,27,400,5,2619,54,106,47,81,98,365,1868,1399,927,223600
G53002700005001,530270005001,53,27,500,1,1396,179,149,352,42,79,14,581,580,646,137500
G53002700005002,530270005002,53,27,500,2,1306,26,375,28,14,44,13,806,568,693,163100
G53002700005003,530270005003,53,27,500,3,453,18,15,0,64,10,143,203,257,692,175000
G53002700005004,530270005004,53,27,500,4,2390,111,147,6,22,73,84,1947,947,728,220900
G53002700005005,530270005005,53,27,500,5,643,41,20,16,85,116,0,365,393,514,
G53002700006001,530270006001,53,27,600,1,1553,245,85,25,37,108,79,974,641,953,166000
G53002700006002,530270006002,53,27,600,2,1153,92,108,102,16,164,21,650,460,1056,142900
G53002700006003,530270006003,53,27,600,3,1004,22,47,45,11,17,23,839,442,971,206700
G53002700007001,530270007001,53,27,700,1,2356,208,199,133,65,358,46,1347,896,757,172200
G53002700007002,530270007002,53,27,700,2,748,14,44,207,25,61,10,387,276,650,197700
G53002700007003,530270007003,53,27,700,3,1692,301,132,46,46,41,78,1048,756,906,211900
G53002700008001,530270008001,53,27,800,1,1185,45,114,46,26,22,36,896,473,794,173600
G53002700008002,530270008002,53,27,800,2,1454,260,240,8,39,33,32,842,584,,139200
G53002700008003,530270008003,53,27,800,3,1624,93,140,0,51,192,87,1061,698,1014,185400
G53002700009001,530270009001,53,27,900,1,1096,428,27,0,29,93,0,519,519,681,108800
G53002700009002,530270009002,53,27,900,2,729,33,139,0,176,16,89,276,273,761,74700
G53002700009003,530270009003,53,27,900,3,1143,100,0,205,10,268,0,560,492,753,104800
G53002700009004,530270009004,53,27,900,4,818,8,73,28,119,91,126,373,453,642,75200
G53002700009005,530270009005,53,27,900,5,608,16,58,3,0,104,19,408,248,877,125000
G53002700009006,530270009006,53,27,900,6,1514,26,294,24,27,145,53,945,582,1009,166900
G53002700010001,530270010001,53,27,1000,1,917,67,93,76,20,153,0,508,385,866,118400
G53002700010002,530270010002,53,27,1000,2,424,105,65,41,0,99,0,114,209,646,116000
G53002700010003,530270010003,53,27,1000,3,1569,333,233,292,170,64,0,477,431,674,85000
G53002700010004,530270010004,53,27,1000,4,592,92,155,63,10,26,0,246,394,494,144100
G53002700011001,530270011001,53,27,1100,1,521,10,21,0,0,21,56,413,244,,147900
G53002700011002,530270011002,53,27,1100,2,705,22,8,20,98,49,0,508,371,,213900
G53002700011003,530270011003,53,27,1100,3,1294,54,121,9,33,185,0,892,475,918,202000
G53002700011004,530270011004,53,27,1100,4,571,51,10,36,0,28,0,446,321,633,148400
G53002700011005,530270011005,53,27,1100,5,877,137,89,41,37,69,7,497,483,275,141200
G53002700012001,530270012001,53,27,1200,1,1201,248,76,26,8,104,80,659,427,963,148600
G53002700012002,530270012002,53,27,1200,2,610,153,87,13,0,63,75,219,292,808,68400
G53002700012003,530270012003,53,27,1200,3,901,160,33,198,30,144,30,306,346,865,81300
G53002700012004,530270012004,53,27,1200,4,740,26,124,12,50,92,9,427,290,928,120300
