county,tract,bg,state,BlockGroup,sduni14,sdelm14,sdsec14,sdbest14,sdbesttype14,cd114,hsa,stab,cntyname,eschlnm14,sschlnm14,uschlnm14,bschlnm14,hsaname,intptlon,intptlat,pop14,afact
53033,19.00,2,53,530330019002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.320202,47.694851,1466.882341,1
53033,19.00,3,53,530330019003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.328278,47.693196,1363.489753,1
53033,20.00,1,53,530330020001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.308382,47.694198,1630.587272,1
53033,20.00,2,53,530330020002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.313936,47.699055,1055.466002,1
53033,20.00,3,53,530330020003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.314085,47.694718,982.229585,1
53033,21.00,1,53,530330021001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.293811,47.696118,1621.971223,1
53033,21.00,2,53,530330021002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.301148,47.697044,966.074493,1
53033,21.00,3,53,530330021003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.301877,47.692379,1512.116598,1
53033,22.00,1,53,530330022001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.283281,47.701693,1599.354094,1
53033,22.00,2,53,530330022002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.286539,47.696371,1525.040672,1
53033,22.00,3,53,530330022003,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.256812,47.693579,0,0
53033,22.00,3,53,530330022003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.280052,47.692793,1351.642686,1
53033,22.00,4,53,530330022004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.272659,47.68755,1217.01692,1
53033,24.00,1,53,530330024001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.284796,47.688136,1032.848873,1
53033,24.00,2,53,530330024002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.28542,47.684288,873.451967,1
53033,24.00,3,53,530330024003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.292721,47.686255,1294.561361,1
53033,25.00,1,53,530330025001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.302077,47.686563,1512.116598,1
53033,25.00,2,53,530330025002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.303437,47.679189,1505.654561,1
53033,26.00,1,53,530330026001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.309175,47.687546,1135.164455,1
53033,26.00,2,53,530330026002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.3107,47.681799,1393.645924,1
53033,26.00,3,53,530330026003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.31191,47.677701,1435.649163,1
53033,26.00,4,53,530330026004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.31475,47.686055,1054.388995,1
53033,27.00,1,53,530330027001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.32102,47.687583,1535.810733,1
53033,27.00,2,53,530330027002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.328433,47.686231,1443.188206,1
53033,27.00,3,53,530330027003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.33462,47.68672,1167.474638,1
53033,27.00,4,53,530330027004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.341188,47.686792,1549.811812,1
53033,28.00,1,53,530330028001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.350289,47.685461,1280.560281,1
53033,28.00,2,53,530330028002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.349366,47.682833,964.997487,1
53033,28.00,3,53,530330028003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.350165,47.680732,1060.851032,1
53033,28.00,4,53,530330028004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.349643,47.68881,1519.655641,1
53033,29.00,1,53,530330029001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.360705,47.68871,1500.269531,1
53033,29.00,2,53,530330029002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.358374,47.682843,1525.040672,1
53033,29.00,3,53,530330029003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.363538,47.683509,1473.344378,1
53033,30.00,1,53,530330030001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.368228,47.685251,1727.517823,1
53033,30.00,2,53,530330030002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.376256,47.688761,1434.572157,1
53033,30.00,3,53,530330030003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.373477,47.683002,1515.347616,1
53033,30.00,4,53,530330030004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.379372,47.683148,1393.645924,1
53033,31.00,1,53,530330031001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.385303,47.687831,1237.480036,1
53033,31.00,2,53,530330031002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.391318,47.686663,1195.476798,1
53033,31.00,3,53,530330031003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.38584,47.682141,1382.875863,1
53033,31.00,4,53,530330031004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.394759,47.681245,1500.269531,1
53033,31.00,5,53,530330031005,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.407343,47.689395,0,0
53033,31.00,5,53,530330031005,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.396973,47.686666,1381.798857,1
53033,32.00,1,53,530330032001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.389824,47.677343,989.768628,1
53033,32.00,2,53,530330032002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.389963,47.672801,1234.249018,1
53033,32.00,3,53,530330032003,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.387758,47.666677,0,0
53033,32.00,3,53,530330032003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.391574,47.669765,1186.860749,1
53033,32.00,4,53,530330032004,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.403347,47.668745,0,0
53033,32.00,4,53,530330032004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.398805,47.669104,1199.784822,1
53033,32.00,5,53,530330032005,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.395619,47.673084,775.444409,1
